Item ID,Name,Description,Tag 1,Tag 2,Tag 3
,Parkour,"Parkour is a training discipline using movement that developed from military obstacle course training. Practitioners, called tracers or traceurs, aim to get from one point to another in a complex environment, without assistive equipment and in the fastest and most efficient way possible.",,,
,Artistic gymnastics,"Artistic gymnastics is a discipline of gymnastics in which athletes perform short routines (ranging from about 30 to 90 seconds) on different apparatuses, with less time for vaulting.",,,
,Slacklining,"Slacklining refers to the act of walking, running or balancing along a suspended length of flat webbing that is tensioned between two anchors. Slacklining is similar to slack rope walking and tightrope walking. Slacklines differ from tightwires and tightropes in the type of material used and the amount of tension applied during use.",,,
,Water polo,"Water polo is a competitive team sport played in water between two teams. The game consists of four quarters in which the two teams attempt to score goals by throwing the ball into the opposing team's goal. The team with the most goals at the end of the game wins the match. Each team is made up of six field players and one goalkeeper. Excluding the goalkeeper, players participate in both offensive and defensive roles. Water polo is typically played in an all-deep pool so that players cannot touch the bottom.",,,
,Handball,"Handball (also known as team handball, European handball or Olympic handball) is a team sport in which two teams of seven players each (six outcourt players and a goalkeeper) pass a ball using their hands with the aim of throwing it into the goal of the other team. A standard match consists of two periods of 30 minutes, and the team that scores more goals wins.",,,
,Hunting,"Hunting is the practice of seeking, pursuing and capturing or killing wild animals. Hunting wildlife or feral animals is most commonly done by humans for meat, recreation, to remove predators that can be dangerous to humans or domestic animals, to remove pests that destroy crops or kill livestock, or for trade. Many non-human species also hunt - see predation.",,,
,Curling,"Curling is a sport in which players slide stones on a sheet of ice toward a target area which is segmented into four concentric circles. It is related to bowls, boules and shuffleboard. Two teams, each with four players, take turns sliding heavy, polished granite stones, also called rocks, across the ice curling sheet toward the house, a circular target marked on the ice.",,,
,Figure skating,"Figure skating is a sport in which individuals, pairs, or groups perform on figure skates on ice.",,,
,Ice hockey,"Ice hockey is a contact team sport played on ice, usually in a rink, in which two teams of skaters use their sticks to shoot a vulcanized rubber puck into their opponent's net to score goals. The sport is known to be fast-paced and physical, with teams usually fielding six players at a time: one goaltender, and five players who skate the span of the ice trying to control the puck and score goals against the opposing team.",,,
,Speed skating,Speed skating is a competitive form of ice skating in which the competitors race each other in travelling a certain distance on skates.,,,
,Parasailing,"Parasailing, also known as parascending or parakiting, is a recreational kiting activity where a person is towed behind a vehicle (usually a boat) while attached to a specially designed canopy wing that resembles a parachute, known as a parasail wing. The manned kite's moving anchor may be a car, truck, or boat. The harness attaches the pilot to the parasail, which is connected to the boat, or land vehicle, by the tow rope. The vehicle then drives off, carrying the parascender (or wing) and person into the air. If the boat is powerful enough, two or three people can parasail behind it at the same time. The parascender has little or no control over the parachute.",,,
,Hang gliding,"Hang gliding is an air sport or recreational activity in which a pilot flies a light, non-motorised foot-launched heavier-than-air aircraft called a hang glider. Most modern hang gliders are made of an aluminium alloy or composite frame covered with synthetic sailcloth to form a wing. Typically the pilot is in a harness suspended from the airframe, and controls the aircraft by shifting body weight in opposition to a control frame.",,,
,Kite Flying,Flying kites.,,,
,Amercan Football,,,,
,Running,,,,
,Squash,,,,
,Marathon,,,,
,Sailing,,,,
,Skiing,,,,
,Sledding,,,,
,Shooting sports,,,,
,Laser tag,,,,
,Paintball,,,,
,Hockey,,,,
,Lacrosse,,,,
,Polo,,,,
,Capture the flag,,,,
,Tag,,,,
,Marco Polo,,,,
,Backpacking (hiking),,,,
,,,,,
,Hiking,,,,
,Racewalking,,,,
,Walking,,,,
,Canoeing,,,,
,Kayaking,,,,
,Rowing (sport),,,,
,Backstroke,,,,
,Breaststroke,,,,
,Butterfly stroke,,,,
,Freestyle swimming,,,,
,Scuba diving,,,,
,Powerlifting,,,,
,Sports car racing,,,,
,Arm wrestling,,,,
,Thumb wrestling,,,,
,Tug-o-war,,,,
